Release 8.1i - Fit M.63c
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 2- 9-2016  4:07PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  ULA.ngd
output file: ULA_pad.csv
Part type:   xa9536xl
Speed grade: -15
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GCK3,,,,,,,,,,
P2,Z<3>,O,I/O,OUTPUT,,,,,,,,,
P3,B<3>,I,I/O,INPUT,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,TIE,,I/O,,,,,,,,,,
P6,Overflow,O,I/O,OUTPUT,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,Z<0>,O,I/O,OUTPUT,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,S<1>,I,I/O,INPUT,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,B<0>,I,I/O,INPUT,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,A<3>,I,I/O,INPUT,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,Z<2>,O,I/O,OUTPUT,,,,,,,,,
P29,A<1>,I,I/O,INPUT,,,,,,,,,
P30,TIE,,I/O,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,A<2>,I,I/O,INPUT,,,,,,,,,
P33,B<2>,I,I/O/GSR,INPUT,,,,,,,,,
P34,S<0>,I,I/O/GTS2,INPUT,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,TIE,,I/O/GTS1,,,,,,,,,,
P37,Comp,O,I/O,OUTPUT,,,,,,,,,
P38,A<0>,I,I/O,INPUT,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,Z<1>,O,I/O,OUTPUT,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,B<1>,I,I/O,INPUT,,,,,,,,,
P43,TIE,,I/O/GCK1,,,,,,,,,,
P44,TIE,,I/O/GCK2,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


